,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Harris Wall,Samuel,Thompson,62,Head,Divorced,Male,Actuary,None,Catholic
1,1,Harris Wall,Anne,Thompson,5,Granddaughter,NA,Female,Student,None,NA
2,2,Harris Wall,Shaun,Simpson,57,Head,Married,Male,Chief of Staff,None,Christian
3,2,Harris Wall,Kim,Simpson,57,Wife,Married,Female,Unemployed,None,None
4,3,Harris Wall,Sylvia,Harper,47,Head,Single,Female,Academic librarian,None,None
5,3,Harris Wall,Antony,Harper,11,Son,NA,Male,Student,None,NA
6,3,Harris Wall,Linda,Harper,8,Daughter,NA,Female,Student,None,NA
7,3,Harris Wall,Stuart,Harper,4,Son,NA,Male,Child,None,NA
8,3,Harris Wall,Sian,Naylor,49,Lodger,Divorced,Female,Unemployed,None,Christian
9,4,Harris Wall,Naomi,James,53,Head,Married,Female,Further education lecturer,None,Methodist
10,4,Harris Wall,Mark,James,57,Husband,Married,Male,Pension scheme manager,None,Christian
11,4,Harris Wall,Charlene,James,26,Daughter,Divorced,Female,Water engineer,None,Methodist
12,4,Harris Wall,Amber,James,1,Daughter,NA,Female,Child,None,NA
13,5,Harris Wall,Lisa,Buckley,31,Head,Divorced,Female,Veterinary surgeon,None,None
14,5,Harris Wall,Colin,Buckley,8,Son,NA,Male,Student,None,NA
15,6,Harris Wall,Clare,Knight,43,Head,Single,Female,Unemployed,None,Christian
16,6,Harris Wall,Lucy,Knight,5,Daughter,NA,Female,Student,None,NA
17,7,Harris Wall,Dylan,Graham,61,Head,Divorced,Male,"Psychologist, prison and probation services",None,Methodist
18,7,Harris Wall,Harriet,Davis,13,Granddaughter,NA,Female,Student,None,NA
19,8,Harris Wall,Lawrence,Moore,52,Head,Single,Male,"Scientist, water quality",None,None
20,9,Harris Wall,Glenn,Ford,32,Head,Single,Male,Minerals surveyor,None,Catholic
21,9,Harris Wall,Melissa,Ford,8,Step-Daughter,NA,Female,Student,None,NA
22,10,Harris Wall,Vanessa,Murphy,36,Head,Single,Female,Ergonomist,None,None
23,10,Harris Wall,Carly,Murphy,8,Daughter,NA,Female,Student,None,NA
24,10,Harris Wall,Margaret,Murphy,7,Daughter,NA,Female,Student,None,NA
25,10,Harris Wall,Suzanne,Murphy,5,Daughter,NA,Female,Student,None,NA
26,11,Harris Wall,Dominic,Davis,80,Head,Married,Male,Retired Clinical research associate,None,Christian
27,11,Harris Wall,Beverley,Davis,71,Wife,Married,Female,Retired Economist,None,None
28,12,Harris Wall,Ellie,Gregory,39,Head,Divorced,Female,Best boy,None,None
29,12,Harris Wall,Raymond,Gregory,17,Son,NA,Male,Student,None,NA
30,13,Harris Wall,Kate,Graham,36,Head,Single,F,"Engineer, biomedical",None,Christian
31,14,Harris Wall,Lawrence,Bennett,76,Head,Married,Male,Retired Emergency planning/management officer,None,Christian
32,14,Harris Wall,Rita,Bennett,69,Wife,Married,Female,Retired Physiological scientist,None,Christian
33,15,Harris Wall,Sophie,Carter,34,Head,Married,Female,Museum/gallery curator,None,Sikh
34,15,Harris Wall,Tom,Carter,34,Husband,Married,Male,Multimedia programmer,None,Sikh
35,16,Harris Wall,Irene,Forster,28,Head,Married,Female,Orthoptist,None,Christian
36,16,Harris Wall,Samuel,Forster,27,Husband,Married,Male,"Nurse, mental health",None,Christian
37,16,Harris Wall,Dominic,Grant,28,None,Married,Male,Dispensing optician,None,None
38,16,Harris Wall,Dorothy,Grant,25,None,Married,Female,Physiotherapist,None,None
39,17,Harris Wall,Sharon,Heath,62,Head,Married,Female,Agricultural consultant,None,None
40,17,Harris Wall,Rhys,Heath,61,Husband,Married,Male,Insurance account manager,None,None
41,17,Harris Wall,Graeme,Heath,26,Son,Single,Male,Museum/gallery curator,None,None
42,18,Harris Wall,Jacqueline,Smith,43,Head,Single,Female,Land,None,Catholic
43,18,Harris Wall,Anthony,Howard,24,None,Single,Male,"Merchandiser, retail",None,None
44,18,Harris Wall,Hazel,Atkinson,32,None,Single,Female,Information officer,None,Catholic
45,18,Harris Wall,Kirsty,Hayward,38,None,Single,Female,"Administrator, education",None,Catholic
46,18,Harris Wall,Joel,Scott,53,None,Single,Male,"Lecturer, higher education",None,Christian
47,19,Harris Wall,Natalie,Howell,31,Head,Single,Female,Agricultural engineer,None,Muslim
48,19,Harris Wall,Brandon,Dennis,34,Partner,Single,Male,Hospital pharmacist,None,Muslim
49,19,Harris Wall,Marie,Howell,14,Daughter,NA,Female,Student,None,NA
50,20,Harris Wall,Daniel,Singh,43,Head,Single,Male,"Restaurant manager, fast food",None,None
51,20,Harris Wall,Hazel,Baxter,44,Partner,Single,Female,"Geneticist, molecular",None,None
52,21,Harris Wall,Lynda,Davies,48,Head,Single,Female,Health service manager,None,Catholic
53,21,Harris Wall,Jack,Thompson,52,Partner,Single,Male,Intelligence analyst,None,None
54,22,Harris Wall,Rachel,Barnett,94,Head,Married,Female,"Retired Surveyor, planning and development",None,Christian
55,22,Harris Wall,Duncan,Barnett,95,Husband,Married,Male,Retired Agricultural consultant,None,Christian
56,23,Harris Wall,Joe,Sanders,39,Head,Single,Male,Unemployed,None,Jewish
57,23,Harris Wall,Hollie,Gill,32,Partner,Single,Female,"Engineer, mining",None,Jewish
58,23,Harris Wall,Teresa,Sanders,7,Daughter,NA,Female,Student,None,NA
59,1,Wade Drive,Ashleigh,White,74,Head,Widowed,Female,"Retired Scientist, marine",None,Sikh
60,2,Wade Drive,Donna,Andrews,24,Head,Single,Female,Stage manager,None,None
61,2,Wade Drive,William,Andrews,2,Son,NA,Male,Child,None,NA
62,2,Wade Drive,Catherine,Andrews,0,Daughter,NA,Female,Child,None,NA
63,2,Wade Drive,Tony,Walker,55,Sibling,Single,Male,Herbalist,None,None
64,2,Wade Drive,Norman,Walters,34,Sibling,Divorced,Male,Event organiser,None,Catholic
65,2,Wade Drive,Vincent,Page,29,Sibling,Single,Male,Biomedical engineer,None,Sikh
66,3,Wade Drive,Hayley,Smith,68,Head,Married,Female,Retired English as a second language teacher,None,None
67,3,Wade Drive,Neil,Smith,71,Husband,Married,M,Retired Materials engineer,None,None
68,4,Wade Drive,Matthew,Hall,33,Head,Married,Male,"Engineer, automotive",None,None
69,4,Wade Drive,Annette,Hall,30,Wife,Married,Female,Equality and diversity officer,None,None
70,5,Wade Drive,Clare,Bolton,33,Head,Single,Female,Unemployed,None,None
71,5,Wade Drive,Mohamed,Bolton,14,Son,NA,Male,Student,None,NA
72,6,Wade Drive,Zoe,Jones,49,Head,Married,Female,Architect,None,Christian
